EXEC|Time|ID|Message|LISTEN|TRANSMIT
1|115822334|4| |1960|0
1|115824924|9| |2230|1993
1|115927368|5| |1881|3540
1|116059755|1| |163837|0
1|119479627|10|DATA sent to 1 seqn 3|NA|NA
1|119666526|1|DATA recv from 10 seqn 3|NA|NA
1|120335231|6| |1133|2989
1|120465871|2| |2193|160
1|120531273|3| |1744|90
1|120605055|7| |2220|908
1|120708019|10| |2061|5446
1|120784712|8| |2773|2081
1|120823728|4| |4710|11411
1|120823877|9| |1504|0
1|120926305|5| |2256|0
1|121059755|1| |163837|0
1|121666741|2|DATA sent to 1 seqn 4|NA|NA
1|121687140|1|DATA recv from 2 seqn 4|NA|NA
1|122861645|10|DATA sent to 1 seqn 4|NA|NA
1|123040717|1|DATA recv from 10 seqn 4|NA|NA
1|125334236|6| |1080|0
1|125466264|2| |1277|3080
1|125531344|3| |1411|91
1|125605122|7| |1707|906
1|125706039|5|DATA sent to 1 seqn 4|NA|NA
1|125708017|10| |1940|2267
1|125783740|8| |1080|0
1|125822353|4| |1679|0
1|125823950|9| |1276|0
1|125852789|1|DATA recv from 5 seqn 4|NA|NA
1|125927420|5| |2300|2721
1|126059755|1| |163837|0
1|128579017|8|DATA sent to 1 seqn 4|NA|NA
1|128848685|1|DATA recv from 8 seqn 4|NA|NA
1|129715437|6|DATA sent to 1 seqn 4|NA|NA
1|129790731|1|DATA recv from 6 seqn 4|NA|NA
1|130334861|6| |1939|996
1|130465866|2| |1767|181
1|130531311|3| |1592|90
1|130605448|7| |1629|1501
1|130706957|10| |1256|0
1|130784735|8| |2181|5257
1|130823358|4| |2561|3087
1|130823907|9| |1080|0
1|130926339|5| |1256|0
1|131059774|1| |163838|0
1|131080146|9|DATA sent to 1 seqn 4|NA|NA
1|131480439|1|DATA recv from 9 seqn 4|NA|NA
1|131970476|4|DATA sent to 1 seqn 4|NA|NA
1|132102728|1|DATA recv from 4 seqn 4|NA|NA
1|132335398|3|DATA sent to 1 seqn 4|NA|NA
1|132355876|1|DATA recv from 3 seqn 4|NA|NA
1|135407956|6| |2695|1922
1|135465894|2| |2319|262
1|135532005|3| |1945|1138
1|135604410|7| |1276|0
1|135706954|10| |1080|0
1|135783673|8| |1271|0
1|135823351|4| |2339|2362
1|135824926|9| |2399|2454
1|135927369|5| |2929|3436
1|136059774|1| |163838|0
1|136587994|7|DATA sent to 1 seqn 4|NA|NA
1|136668374|1|DATA recv from 7 seqn 4|NA|NA
1|140334159|6| |1288|0
1|140465175|2| |1080|0
1|140531272|3| |1478|90
1|140605399|7| |1571|1088
1|140706973|10| |1080|0
1|140783687|8| |1080|0
1|140822281|4| |1080|0
1|140824940|9| |1132|2992
1|140926302|5| |1334|0
1|141059755|1| |163837|0
1|145334164|6| |1080|0
1|145465175|2| |1080|0
1|145530923|3| |1080|0
1|145604353|7| |1080|0
1|145706954|10| |1080|0
1|145783668|8| |1080|0
1|145822281|4| |1080|0
1|145823873|9| |1080|0
1|145926302|5| |1080|0
1|146059755|1| |163837|0
1|150334165|6| |1080|0
1|150465176|2| |1080|0
1|150530924|3| |1080|0
1|150604354|7| |1080|0
1|150706955|10| |1080|0
1|150783669|8| |1080|0
1|150822282|4| |1080|0
1|150823874|9| |1080|0
1|150926303|5| |1080|0
1|151059755|1| |163837|0
1|155334236|6| |1080|0
1|155465247|2| |1080|0
1|155530995|3| |1080|0
1|155604425|7| |1080|0
1|155707026|10| |1080|0
1|155783740|8| |1080|0
1|155822353|4| |1080|0
1|155823945|9| |1080|0
1|155926374|5| |1080|0
1|156059755|1| |163837|0
1|160335260|6| |1777|2037
1|160416083|9|DATA sent to 1 seqn 5|NA|NA
1|160430938|7|DATA sent to 1 seqn 5|NA|NA
1|160465209|2| |1080|0
1|160530955|3| |1446|0
1|160605460|7| |2388|3092
1|160706991|10| |1256|0
1|160766054|4|DATA sent to 1 seqn 5|NA|NA
1|160783702|8| |1080|0
1|160824977|9| |2191|3082
1|160914300|4| |2194|3092
1|160962603|5| |2193|546
1|160975804|1|DATA recv from 9 seqn 5|NA|NA
1|161059755|1| |163837|0
1|161412002|1|DATA recv from 7 seqn 5|NA|NA
1|161533875|1|DATA recv from 4 seqn 5|NA|NA
1|162151135|2|DATA sent to 1 seqn 5|NA|NA
1|162171517|1|DATA recv from 2 seqn 5|NA|NA
1|165262274|5|DATA sent to 1 seqn 5|NA|NA
1|165334201|6| |2178|0
1|165352874|1|DATA recv from 5 seqn 5|NA|NA
1|165466223|2| |3575|3448
